,Descrição,Qtd. Comercial,Unid. Comercial,Valor Líquido do Item,Cód. Produto
0,"Cha Lipton 1,5L Pessego",1.0,UN,7.15,7891042000195
1,"Suco Aurora 1,5L Uva Tto",1.0,UN,17.29,7891141019838
2,Creme Leite Itambe 300G,1.0,UN,4.99,7896051114086
3,Leite Shefa 1L Gf.Integr,1.0,UN,3.99,7896185312396
4,Palmito Lupe 300G P.Tole,1.0,UN,11.89,7898944191778
5,Creme Leite Itambe 300G,1.0,UN,4.99,7896051114086
6,Desumidificador Secar 18,1.0,UN,9.99,7896013403555
7,Desumidificador Secar 18,1.0,UN,9.99,7896013403555
8,Desumidificador Secar 18,1.0,UN,9.99,7896013403555
9,Desumidificador Secar 18,1.0,UN,9.99,7896013403555
10,Desumidif.Durasol 80G Ne,1.0,UN,5.99,7896495000402
11,Desumidif.Durasol 80G Ne,1.0,UN,5.99,7896495000402
12,Desumidif.Durasol 80G Ne,1.0,UN,5.99,7896495000402
13,Desumidif.Durasol 80G Ne,1.0,UN,5.99,7896495000402
14,Sab.Liq.Francis 220Ml Po,1.0,UN,5.09,7897664171978
15,Sab.Liq.Francis 220Ml Po,1.0,UN,5.09,7897664171978
16,Garrafa Plasduran 700Ml,1.0,UN,11.39,7897659677256
17,Sh.Chikas 300Ml Acorda C,1.0,UN,13.79,7898132981389
18,Ovos Ismeria 20Un Branco,1.0,UN,11.99,7898277190073
19,Castanha Caju 250G Csal,1.0,UN,21.23,1000000001563
20,Ext.Tomate Elefante 140G,1.0,UN,2.75,7896036097809
21,Requeijao Scala 400G Cr.,1.0,UN,15.99,7898039680187
22,Mort.Def.Gourme Seara Pc,0.312,kg,6.21,3375
23,Pres.Perdigao Fatiado Kg,0.336,kg,8.37,1598
24,Qjo.Muss.Alianca Fatiado,0.324,kg,12.93,1052
25,Q.Minas Meia Cura P.A.Kg,0.48,kg,20.59,4268
26,Qjo.Muss.Alianca Pedaco,0.34,kg,11.53,1081
27,Queijo Gouda Quata Kg.,0.184,kg,14.7,1880
28,Salsicha Ceratti 200G Vi,1.0,UN,13.99,7898618520057
29,Ricota Carlin Fresca Kg.,0.394,kg,8.47,1544
30,Creme Ricota Tirolez 200,1.0,UN,4.98,7896030519611
31,Queijo Tirolez 400G Cot,1.0,UN,18.99,7896030520013
32,Queijo Gouda Quata Kg.,0.232,kg,18.54,1880
33,Manteiga Paulista 200G S,1.0,UN,7.99,7891025114291
34,Req.Tirolez 200G,1.0,UN,4.69,7896030518027
35,Salsicha Berna Kalbsbrat,1.0,UN,14.79,7896542811487
36,Salsicha Berna Cervela 3,1.0,UN,18.29,7896542811470
37,Pao Panco 380G Integral,1.0,UN,7.79,7891203067906
38,Folha De Louro Aroma Ind,1.0,UN,2.99,7898416520266
39,Paprica M.Gosto 35G Doce,1.0,UN,4.79,7898101668273
40,Chilli M.Gosto 30G Mexic,1.0,UN,8.35,7898101668624
41,Pimenta Multi Gosto 25G,1.0,UN,6.25,7898101668723
42,Pimenta M.Gosto 25G Cala,1.0,UN,5.45,7898101668297
43,Enroladinho De Salsicha,0.404,kg,8.48,1499
44,Torta De Frango Ccatupi,0.494,kg,14.82,617
45,Portobello Holamfood 200,1.0,UN,10.79,7898963513063
46,Cogumelo Shitake Holamfo,1.0,UN,14.49,7898963513179
47,Banana Prata,0.77,kg,5.0,167
48,Banana Prata Solta Kg,0.59,kg,3.83,4501
49,Tomate Grape 180G,1.0,UN,2.99,7898959448010
50,Tomate Grape 180G,1.0,UN,2.99,7898959448010
51,Cenoura,0.325,kg,0.97,239
52,Pimentao Verde,0.18,kg,0.72,230
53,Maracuja Azedo,0.365,kg,3.28,199
54,Cebola Nacional,0.96,kg,4.79,129
55,Tomate Debora,0.425,kg,1.7,288
56,Cebola Roxa,0.265,kg,2.65,1907
57,Goiaba Vermelha,0.445,kg,2.22,172
58,Mamao Papaya,0.545,kg,2.72,193
59,Alface Mimosa Ricelfolha,1.0,UN,2.99,7898407900046
60,Rucula,1.0,UN,3.49,11289
61,Cebolinha Maco,1.0,UN,3.49,40232770654
